"Geographic Level","Geographic Name","Demographic Level","Demographic Name","Indicator_label","Indicator_category_label","Month_Week","Week_ending","Current_Season_Week_Ending_Label","Estimate","CI_Half_width_95pct","Unweighted Sample Size","Weighted Sample Size","Legend_Label","Indicator_Category_Label_Sort","Demographic_Level_Sort_Order","Geography_name_order","Geography_Level_Sort_Order","Season_Sort","Legend_Sort","suppression_flag","influenza_season"
"State","Wyoming","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20",,,"20","123827","2024-2025, Wyoming. Overall (6 months-17 years)","2","1","65","3","2","2650101","1","2024-2025"
"State","Guam","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","10.3213","12.2373","30","39587","2024-2025, Guam. Overall (6 months-17 years)","3","1","23","3","2","2230101","0","2024-2025"
"State","Wyoming","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","June Week 4","2025 Jun 28 12:00:00 AM","2026-06-27","0","0","59","366358","2024-2025, Wyoming. Overall (6 months-17 years)","2","1","65","3","2","2650101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","June Week 1","2025 Jun 07 12:00:00 AM","2026-06-06","0.9053","1.7854","102","453573","2024-2025, Idaho. Overall (6 months-17 years)","2","1","25","3","2","2250101","0","2024-2025"
"State","Wyoming","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","0.3365","0.6724","55","74162","2024-2025, Wyoming. Overall (6 months-17 years)","2","1","65","3","2","2650101","0","2024-2025"
"State","Guam","Overall","Overall","4-level vaccination and intent","Received a vaccination","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","57.1627","6.0803","843","39587","2024-2025, Guam. Overall (6 months-17 years)","1","1","23","3","2","2230101","0","2024-2025"
"State","Wyoming","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","0","0","51","96720","2024-2025, Wyoming. Overall (6 months-17 years)","2","1","65","3","2","2650101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20","0","0","35","1173906","2024-2025, Idaho. Overall (6 months-17 years)","2","1","25","3","2","2250101","0","2024-2025"
"State","Wyoming","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","May Week 1","2025 May 03 12:00:00 AM","2026-05-02",,,"25","22223","2024-2025, Wyoming. Overall (6 months-17 years)","3","1","65","3","2","2650101","1","2024-2025"
"State","Guam","Overall","Overall","4-level vaccination and intent","Received a vaccination","May Week 2","2025 May 10 12:00:00 AM","2026-05-09","57.1627","6.0803","843","39587","2024-2025, Guam. Overall (6 months-17 years)","1","1","23","3","2","2230101","0","2024-2025"
"State","Wyoming","Overall","Overall","Up-to-date","Yes","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20","37.3066","4.5421","1789","123827","2024-2025, Wyoming. Overall (6 months-17 years)",,"1","65","3","2","2650101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","1.3839","2.2289","80","404520","2024-2025, Idaho. Overall (6 months-17 years)","2","1","25","3","2","2250101","0","2024-2025"
"State","Wyoming","Overall","Overall","Up-to-date","Yes","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","37.3066","4.5421","1789","22223","2024-2025, Wyoming. Overall (6 months-17 years)",,"1","65","3","2","2650101","0","2024-2025"
"State","Guam","Overall","Overall","4-level vaccination and intent","Received a vaccination","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","57.1627","6.0803","843","39587","2024-2025, Guam. Overall (6 months-17 years)","1","1","23","3","2","2230101","0","2024-2025"
"State","Wyoming","Overall","Overall","Up-to-date","Yes","May Week 2","2025 May 10 12:00:00 AM","2026-05-09","37.3066","4.5421","1789","102853","2024-2025, Wyoming. Overall (6 months-17 years)",,"1","65","3","2","2650101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","0.5681","1.1361","65","429046","2024-2025, Idaho. Overall (6 months-17 years)","2","1","25","3","2","2250101","0","2024-2025"
"State","Wyoming","Overall","Overall","Up-to-date","Yes","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","37.3066","4.5421","1789","74162","2024-2025, Wyoming. Overall (6 months-17 years)",,"1","65","3","2","2650101","0","2024-2025"
"State","Guam","Overall","Overall","Up-to-date","Yes","June Week 1","2025 Jun 07 12:00:00 AM","2026-06-06","59.5464","6.3554","843","39414","2024-2025, Guam. Overall (6 months-17 years)",,"1","23","3","2","2230101","0","2024-2025"
"State","Wyoming","Overall","Overall","Up-to-date","Yes","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","37.3066","4.5421","1789","96720","2024-2025, Wyoming. Overall (6 months-17 years)",,"1","65","3","2","2650101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","4.5686","5.2096","80","404520","2024-2025, Idaho. Overall (6 months-17 years)","3","1","25","3","2","2250101","0","2024-2025"
"Substate","Illinois-City of Chicago","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","June Week 2","2025 Jun 14 12:00:00 AM","2026-06-13","36.0226","28.2479","36","832694","2024-2025, Illinois-City of Chicago. Overall (6 months-17 years)","4","1","66","4","2","2660101","0","2024-2025"
"State","Guam","Overall","Overall","Up-to-date","Yes","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20","60.3996","6.5626","843","39414","2024-2025, Guam. Overall (6 months-17 years)",,"1","23","3","2","2230101","0","2024-2025"
"Substate","Illinois-City of Chicago","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20",,,"19","499736","2024-2025, Illinois-City of Chicago. Overall (6 months-17 years)","4","1","66","4","2","2660101","1","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","3.6376","6.0541","65","429046","2024-2025, Idaho. Overall (6 months-17 years)","3","1","25","3","2","2250101","0","2024-2025"
"Substate","Illinois-City of Chicago","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","24.2702","13.9476","58","773192","2024-2025, Illinois-City of Chicago. Overall (6 months-17 years)","4","1","66","4","2","2660101","0","2024-2025"
"State","Guam","Overall","Overall","Up-to-date","Yes","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","57.1627","6.0803","843","39587","2024-2025, Guam. Overall (6 months-17 years)",,"1","23","3","2","2230101","0","2024-2025"
"Substate","Illinois-City of Chicago","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","1.723","2.7648","63","544817","2024-2025, Illinois-City of Chicago. Overall (6 months-17 years)","2","1","66","4","2","2660101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","June Week 2","2025 Jun 14 12:00:00 AM","2026-06-13","4.9196","8.5089","82","853421","2024-2025, Idaho. Overall (6 months-17 years)","3","1","25","3","2","2250101","0","2024-2025"
"Substate","Illinois-City of Chicago","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","0.5816","1.1878","42","740099","2024-2025, Illinois-City of Chicago. Overall (6 months-17 years)","2","1","66","4","2","2660101","0","2024-2025"
"State","Guam","Overall","Overall","Up-to-date","Yes","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","57.1627","6.0803","843","39587","2024-2025, Guam. Overall (6 months-17 years)",,"1","23","3","2","2230101","0","2024-2025"
"Substate","Illinois-City of Chicago","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20",,,"19","499736","2024-2025, Illinois-City of Chicago. Overall (6 months-17 years)","3","1","66","4","2","2660101","1","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Received a vaccination","June Week 2","2025 Jun 14 12:00:00 AM","2026-06-13","40.0665","4.213","1820","853421","2024-2025, Idaho. Overall (6 months-17 years)","1","1","25","3","2","2250101","0","2024-2025"
"Substate","Illinois-City of Chicago","Overall","Overall","4-level vaccination and intent","Received a vaccination","June Week 4","2025 Jun 28 12:00:00 AM","2026-06-27",,,"1235","703609","2024-2025, Illinois-City of Chicago. Overall (6 months-17 years)","1","1","66","4","2","2660101","1","2024-2025"
"State","Guam","Overall","Overall","Up-to-date","Yes","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","58.8082","6.0803","843","39500","2024-2025, Guam. Overall (6 months-17 years)",,"1","23","3","2","2230101","0","2024-2025"
"Substate","Illinois-City of Chicago","Overall","Overall","4-level vaccination and intent","Received a vaccination","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","61.4659","5.7283","1235","698820","2024-2025, Illinois-City of Chicago. Overall (6 months-17 years)","1","1","66","4","2","2660101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Received a vaccination","June Week 4","2025 Jun 28 12:00:00 AM","2026-06-27","40.0665","4.213","1820","1014168","2024-2025, Idaho. Overall (6 months-17 years)","1","1","25","3","2","2250101","0","2024-2025"
"Substate","Illinois-City of Chicago","Overall","Overall","Up-to-date","Yes","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20","61.4659","5.7283","1235","499736","2024-2025, Illinois-City of Chicago. Overall (6 months-17 years)",,"1","66","4","2","2660101","0","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","June Week 1","2025 Jun 07 12:00:00 AM","2026-06-06","32.8649","23.2006","56","186693","2024-2025, Hawaii. Overall (6 months-17 years)","4","1","24","3","2","2240101","0","2024-2025"
"Substate","Illinois-City of Chicago","Overall","Overall","Up-to-date","Yes","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","61.4659","5.7283","1235","773192","2024-2025, Illinois-City of Chicago. Overall (6 months-17 years)",,"1","66","4","2","2660101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Received a vaccination","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","40.0665","4.213","1820","367627","2024-2025, Idaho. Overall (6 months-17 years)","1","1","25","3","2","2250101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20","41.4544","20.2841","49","2511545","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)","4","1","67","4","2","2670101","0","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","35.9741","18.3588","86","214735","2024-2025, Hawaii. Overall (6 months-17 years)","4","1","24","3","2","2240101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","38.8719","13.9541","90","2599987","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)","4","1","67","4","2","2670101","0","2024-2025"
"State","Idaho","Overall","Overall","Up-to-date","Yes","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20","40.0665","4.213","1820","1173906","2024-2025, Idaho. Overall (6 months-17 years)",,"1","25","3","2","2250101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","41.895","17.3904","66","2005664","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)","4","1","67","4","2","2670101","0","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 2","2025 May 10 12:00:00 AM","2026-05-09","44.2584","22.237","67","553634","2024-2025, Hawaii. Overall (6 months-17 years)","4","1","24","3","2","2240101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","0.5437","1.0757","90","2599987","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)","2","1","67","4","2","2670101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","June Week 1","2025 Jun 07 12:00:00 AM","2026-06-06","34.6875","13.9576","103","3427244","2024-2025, Illinois. Overall (6 months-17 years)","4","1","26","3","2","2260101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 2","2025 May 10 12:00:00 AM","2026-05-09","1.9106","2.7023","63","1600468","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)","2","1","67","4","2","2670101","0","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","44.4606","16.1426","49","245274","2024-2025, Hawaii. Overall (6 months-17 years)","4","1","24","3","2","2240101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","June Week 2","2025 Jun 14 12:00:00 AM","2026-06-13","1.3227","1.5681","51","2372935","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)","3","1","67","4","2","2670101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","37.1665","12.5032","156","3298807","2024-2025, Illinois. Overall (6 months-17 years)","4","1","26","3","2","2260101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20","7.5662","8.6959","49","2511545","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)","3","1","67","4","2","2670101","0","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","27.5566","16.9582","45","215984","2024-2025, Hawaii. Overall (6 months-17 years)","4","1","24","3","2","2240101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","4-level vaccination and intent","Received a vaccination","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","48.9407","3.4534","2960","2005664","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)","1","1","67","4","2","2670101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","37.5849","13.1147","124","2778856","2024-2025, Illinois. Overall (6 months-17 years)","4","1","26","3","2","2260101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","4-level vaccination and intent","Received a vaccination","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","48.9407","3.4534","2960","2034649","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)","1","1","67","4","2","2670101","0","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","5.4469","5.8766","86","214735","2024-2025, Hawaii. Overall (6 months-17 years)","2","1","24","3","2","2240101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","4-level vaccination and intent","Received a vaccination","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","49.0322","3.4534","2960","2263256","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)","1","1","67","4","2","2670101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 2","2025 May 10 12:00:00 AM","2026-05-09","1.7401","2.1384","128","2144204","2024-2025, Illinois. Overall (6 months-17 years)","2","1","26","3","2","2260101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","4-level vaccination and intent","Received a vaccination","June Week 4","2025 Jun 28 12:00:00 AM","2026-06-27","49.1237","3.473","2960","1648167","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)","1","1","67","4","2","2670101","0","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","1.02","2.0602","60","371158","2024-2025, Hawaii. Overall (6 months-17 years)","2","1","24","3","2","2240101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","Up-to-date","Yes","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","48.9407","3.4534","2960","2599987","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)",,"1","67","4","2","2670101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","2.1576","2.4244","134","2579466","2024-2025, Illinois. Overall (6 months-17 years)","2","1","26","3","2","2260101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","Up-to-date","Yes","May Week 2","2025 May 10 12:00:00 AM","2026-05-09","48.9407","3.4534","2960","1600468","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)",,"1","67","4","2","2670101","0","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","June Week 2","2025 Jun 14 12:00:00 AM","2026-06-13","1.2038","2.3596","56","179642","2024-2025, Hawaii. Overall (6 months-17 years)","2","1","24","3","2","2240101","0","2024-2025"
"Substate","Illinois-Rest of State","Overall","Overall","Up-to-date","Yes","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","48.9407","3.4534","2960","2005664","2024-2025, Illinois-Rest of State. Overall (6 months-17 years)",,"1","67","4","2","2670101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","0.6681","1.0621","104","3003355","2024-2025, Illinois. Overall (6 months-17 years)","2","1","26","3","2","2260101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","June Week 1","2025 Jun 07 12:00:00 AM","2026-06-06","22.915","20.4038","40","1399634","2024-2025, New York-New York City. Overall (6 months-17 years)","4","1","68","4","2","2680101","0","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","May Week 2","2025 May 10 12:00:00 AM","2026-05-09","3.1968","4.549","67","553634","2024-2025, Hawaii. Overall (6 months-17 years)","3","1","24","3","2","2240101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","June Week 4","2025 Jun 28 12:00:00 AM","2026-06-27","23.8884","16.3418","40","1006373","2024-2025, New York-New York City. Overall (6 months-17 years)","4","1","68","4","2","2680101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","June Week 1","2025 Jun 07 12:00:00 AM","2026-06-06","8.1046","8.0761","103","3427244","2024-2025, Illinois. Overall (6 months-17 years)","3","1","26","3","2","2260101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 2","2025 May 10 12:00:00 AM","2026-05-09","21.265","15.686","45","729664","2024-2025, New York-New York City. Overall (6 months-17 years)","4","1","68","4","2","2680101","0","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","2.2728","3.2209","49","245274","2024-2025, Hawaii. Overall (6 months-17 years)","3","1","24","3","2","2240101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","13.8444","9.7405","69","1217005","2024-2025, New York-New York City. Overall (6 months-17 years)","4","1","68","4","2","2680101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20","6.4757","6.9837","68","3011281","2024-2025, Illinois. Overall (6 months-17 years)","3","1","26","3","2","2260101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 5","2025 May 31 12:00:00 AM","2026-05-30",,,"28","1308320","2024-2025, New York-New York City. Overall (6 months-17 years)","4","1","68","4","2","2680101","1","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","18.8288","14.2037","45","215984","2024-2025, Hawaii. Overall (6 months-17 years)","3","1","24","3","2","2240101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","June Week 1","2025 Jun 07 12:00:00 AM","2026-06-06","0","0","40","1399634","2024-2025, New York-New York City. Overall (6 months-17 years)","2","1","68","4","2","2680101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","7.5948","7.3448","124","2778856","2024-2025, Illinois. Overall (6 months-17 years)","3","1","26","3","2","2260101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","June Week 4","2025 Jun 28 12:00:00 AM","2026-06-27","0","0","40","1006373","2024-2025, New York-New York City. Overall (6 months-17 years)","2","1","68","4","2","2680101","0","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Received a vaccination","June Week 4","2025 Jun 28 12:00:00 AM","2026-06-27","54.6845","5.1252","2066","376084","2024-2025, Hawaii. Overall (6 months-17 years)","1","1","24","3","2","2240101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","4.0492","5.8186","69","1217005","2024-2025, New York-New York City. Overall (6 months-17 years)","2","1","68","4","2","2680101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","5.7601","4.513","134","2579466","2024-2025, Illinois. Overall (6 months-17 years)","3","1","26","3","2","2260101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","May Week 5","2025 May 31 12:00:00 AM","2026-05-30",,,"28","1308320","2024-2025, New York-New York City. Overall (6 months-17 years)","2","1","68","4","2","2680101","1","2024-2025"
"State","Hawaii","Overall","Overall","4-level vaccination and intent","Received a vaccination","May Week 1","2025 May 03 12:00:00 AM","2026-05-02","52.5447","4.5337","2066","214735","2024-2025, Hawaii. Overall (6 months-17 years)","1","1","24","3","2","2240101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","June Week 1","2025 Jun 07 12:00:00 AM","2026-06-06","3.0158","5.8524","40","1399634","2024-2025, New York-New York City. Overall (6 months-17 years)","3","1","68","4","2","2680101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","7.9033","7.4873","104","3003355","2024-2025, Illinois. Overall (6 months-17 years)","3","1","26","3","2","2260101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","June Week 2","2025 Jun 14 12:00:00 AM","2026-06-13","5.5932","6.5248","56","1003640","2024-2025, New York-New York City. Overall (6 months-17 years)","3","1","68","4","2","2680101","0","2024-2025"
"State","Hawaii","Overall","Overall","Up-to-date","Yes","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20","54.6845","5.1252","2066","807520","2024-2025, Hawaii. Overall (6 months-17 years)",,"1","24","3","2","2240101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","June Week 4","2025 Jun 28 12:00:00 AM","2026-06-27","2.0425","4.0752","40","1006373","2024-2025, New York-New York City. Overall (6 months-17 years)","3","1","68","4","2","2680101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Received a vaccination","June Week 4","2025 Jun 28 12:00:00 AM","2026-06-27","51.4272","3.0491","4195","2351776","2024-2025, Illinois. Overall (6 months-17 years)","1","1","26","3","2","2260101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Received a vaccination","June Week 1","2025 Jun 07 12:00:00 AM","2026-06-06","74.0691","6.9098","1492","1399634","2024-2025, New York-New York City. Overall (6 months-17 years)","1","1","68","4","2","2680101","0","2024-2025"
"State","Hawaii","Overall","Overall","Up-to-date","Yes","May Week 2","2025 May 10 12:00:00 AM","2026-05-09","52.5447","4.5337","2066","553634","2024-2025, Hawaii. Overall (6 months-17 years)",,"1","24","3","2","2240101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Received a vaccination","June Week 2","2025 Jun 14 12:00:00 AM","2026-06-13","74.0691","6.9098","1492","1003640","2024-2025, New York-New York City. Overall (6 months-17 years)","1","1","68","4","2","2680101","0","2024-2025"
"State","Illinois","Overall","Overall","4-level vaccination and intent","Received a vaccination","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","51.3035","3.0391","4195","2778856","2024-2025, Illinois. Overall (6 months-17 years)","1","1","26","3","2","2260101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","4-level vaccination and intent","Received a vaccination","June Week 4","2025 Jun 28 12:00:00 AM","2026-06-27","74.0691","6.9098","1492","1006373","2024-2025, New York-New York City. Overall (6 months-17 years)","1","1","68","4","2","2680101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 2","2025 May 10 12:00:00 AM","2026-05-09","55.8738","35.5227","39","302833","2024-2025, Idaho. Overall (6 months-17 years)","4","1","25","3","2","2250101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","Up-to-date","Yes","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","72.9436","6.5989","1492","1109458","2024-2025, New York-New York City. Overall (6 months-17 years)",,"1","68","4","2","2680101","0","2024-2025"
"State","Illinois","Overall","Overall","Up-to-date","Yes","June Week 2","2025 Jun 14 12:00:00 AM","2026-06-13","51.4272","3.0491","4195","3205629","2024-2025, Illinois. Overall (6 months-17 years)",,"1","26","3","2","2260101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","Up-to-date","Yes","May Week 4","2025 May 24 12:00:00 AM","2026-05-23","72.9436","6.5989","1492","1217005","2024-2025, New York-New York City. Overall (6 months-17 years)",,"1","68","4","2","2680101","0","2024-2025"
"State","Idaho","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","May Week 3","2025 May 17 12:00:00 AM","2026-05-16","59.9335","10.487","40","367627","2024-2025, Idaho. Overall (6 months-17 years)","4","1","25","3","2","2250101","0","2024-2025"
"Substate","New York-New York City","Overall","Overall","Up-to-date","Yes","May Week 5","2025 May 31 12:00:00 AM","2026-05-30","73.5063","6.5989","1492","1308320","2024-2025, New York-New York City. Overall (6 months-17 years)",,"1","68","4","2","2680101","0","2024-2025"
"State","Illinois","Overall","Overall","Up-to-date","Yes","June Week 3","2025 Jun 21 12:00:00 AM","2026-06-20","51.4272","3.0491","4195","3011281","2024-2025, Illinois. Overall (6 months-17 years)",,"1","26","3","2","2260101","0","2024-2025"
